path,filename,type,extension,size_bytes,size_human,modified_date,pm_relevance,classification,metadata,notes
"01_Proposal Template TSA ITSM - Dec 2012.pptx","01_Proposal Template TSA ITSM - Dec 2012.pptx","PowerPoint Presentation","pptx","1717667","1.6M","May  9 07:42:21 2013","High","To Be Classified","",""
"01_Proposal Template Package Technologies (General Implementation Content) Nov 2012_c.pptx","01_Proposal Template Package Technologies (General Implementation Content) Nov 2012_c.pptx","PowerPoint Presentation","pptx","6667249","6.4M","May  9 07:41:34 2013","High","To Be Classified","",""
"01_How to write Good Test Scripts_c.docx","01_How to write Good Test Scripts_c.docx","Word Document","docx","212622","208K","May 10 10:14:27 2013","High","To Be Classified","",""
"iMANY CARS 7 5 dictionary.doc","iMANY CARS 7 5 dictionary.doc","Word Document","doc","8486400","8.1M","Jan 30 11:56:23 2013","Review","To Be Classified","",""
"Root Cause Analysis Template.xlsx","Root Cause Analysis Template.xlsx","Excel Spreadsheet","xlsx","12927","13K","Feb 27 13:52:33 2018","High","To Be Classified","",""
"Management_Project Workbook Template_V2.xlsx","Management_Project Workbook Template_V2.xlsx","Excel Spreadsheet","xlsx","699279","683K","Feb 27 13:53:30 2018","High","To Be Classified","",""
"Effective_Bus_Cases.ppt","Effective_Bus_Cases.ppt","PowerPoint Presentation","ppt","3555328","3.4M","Oct 19 12:27:56 2018","Review","To Be Classified","",""
"Project Kickoff Template.pptx","Project Kickoff Template.pptx","PowerPoint Presentation","pptx","678015","662K","Mar 29 09:44:53 2016","High","To Be Classified","",""
"2017-11-05 22.17.44.png","2017-11-05 22.17.44.png","Image","png","406577","397K","Jan 17 15:20:30 2019","Review","To Be Classified","",""
"2017-11-05 22.17.44 2.png","2017-11-05 22.17.44 2.png","Image","png","406577","397K","Jan 17 15:20:30 2019","Review","To Be Classified","",""
"Agie Lifecycle.png","Agie Lifecycle.png","Image","png","104125","102K","Oct 31 10:40:20 2017","Review","To Be Classified","",""
"Agile Methodology.png","Agile Methodology.png","Image","png","630034","615K","Oct 31 10:38:10 2017","Medium","To Be Classified","",""
"create backlog.png","create backlog.png","Image","png","55252","54K","Oct 31 10:39:43 2017","Review","To Be Classified","",""
"transition.png","transition.png","Image","png","100780","98K","Oct 31 10:41:02 2017","Review","To Be Classified","",""
"Workbooks - 2018 Fall PDD (for Electronic Note Taking).pdf","Workbooks - 2018 Fall PDD (for Electronic Note Taking).pdf","PDF Document","pdf","16706247","16M","Nov  1 17:39:49 2018","Review","To Be Classified","",""
"Sample-Project.mpp","Sample-Project.mpp","Microsoft Project","mpp","232960","228K","Dec  7 12:16:37 2016","High","To Be Classified","",""
"Services PMO Status (1).xlsx","Services PMO Status (1).xlsx","Excel Spreadsheet","xlsx","1907027","1.8M","Oct 31 10:26:58 2017","High","To Be Classified","",""
